Year,Country,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Athletes,Events_Count,Host_or_Not,Country_Code,population_total,population_growth,GNI_per_capita,GDP,GDP_growth,Region,GDP_per_capita,Population_Percentage,GDP_Percentage,HDI
2024,Colombia,4,0,3,1,88,56,0,COL,52886363,0.0108,6500,3.86076E+11,1.1,Latin America and Caribbean,7327.118,0.0066,0.003540934,0.758
2024,Kyrgyzstan,6,0,2,4,16,16,0,KGZ,7186009,0.0159,1440,13599000000,4.4,Europe and Central Asia,1921.514,0.0009,0.000124725,0.701
2024,Lithuania,4,0,2,2,51,37,0,LTU,2859110,0.0018,23870,81170000000,2.2,Europe and Central Asia,28407.196,0.0004,0.000744459,0.879
2024,India,6,0,1,5,112,67,0,IND,1450935791,0.0089,2390,3.93701E+12,6.8,South Asia,2730.774,0.1812,0.036108682,0.644
2024,Moldova,4,0,1,3,26,25,0,MDA,3034961,-0.0105,5500,18356000000,2.6,Europe and Central Asia,7488.443,0.0004,0.000168354,0.763
2024,Cyprus,1,0,1,0,15,15,0,CYP,1358282,0.0099,31520,34221000000,2.7,Europe and Central Asia,37148.586,0.0002,0.000313861,0.907
2024,Fiji,1,0,1,0,36,11,0,FIJ,928784,0.005,5390,5801000000,3,East Asia and Pacific,6287.253,0.0001,5.32044E-05,0.729
2024,Jordan,1,0,1,0,12,12,0,JOR,11552876,0.0099,4350,53570000000,2.6,Middle East and North Africa,4705.339,0.0014,0.000491323,0.736
2024,Mongolia,1,0,1,0,32,31,0,MGL,3475540,0.0127,4260,21943000000,6.5,East Asia and Pacific,6181.886,0.0004,0.000201252,0.741
2024,Panama,1,0,1,0,8,8,0,PAN,4515577,0.0127,16960,87347000000,2.5,Latin America and Caribbean,19369.476,0.0006,0.000801112,0.82
2024,Tajikistan,3,0,0,3,14,14,0,TJK,10590927,0.0194,1210,12953000000,6.5,Europe and Central Asia,1271.387,0.0013,0.0001188,0.679
2024,Albania,2,0,0,2,8,8,0,ALB,2791765,-0.0071,6770,25431000000,3.1,Europe and Central Asia,8924.317,0.0003,0.000233243,0.789
2024,Grenada,2,0,0,2,6,6,0,GRN,117207,0.0011,9070,1406000000,4.1,Latin America and Caribbean,12254.599,0,1.28953E-05,0.793
2024,Malaysia,2,0,0,2,26,20,0,MAS,35557673,0.0123,11830,4.45519E+11,4.4,East Asia and Pacific,13314.84,0.0044,0.004086121,0.807
2024,Cabo Verde,1,0,0,1,7,7,0,CPV,524877,0.0049,3950,2718000000,4.7,Sub-Saharan Africa,4655.649,0.0001,2.49284E-05,0.661
2024,Côte d'Ivoire,1,0,0,1,13,11,0,CIV,31934230,0.0247,2620,86911000000,6.5,Sub-Saharan Africa,2717.404,0.004,0.000797113,0.534
2024,Peru,1,0,0,1,26,20,0,PER,34217848,0.011,6740,2.82458E+11,2.5,Latin America and Caribbean,8290.943,0.0043,0.002590591,0.762
2024,Qatar,1,0,0,1,13,10,0,QAT,3048423,0.0233,70120,2.44686E+11,2,Middle East and North Africa,81399.515,0.0004,0.002244162,0.875
2024,Singapore,1,0,0,1,23,20,0,SGP,5832387,0.0075,67200,5.25228E+11,2.1,East Asia and Pacific,88446.924,0.0007,0.00481718,0.949
2024,Zambia,1,0,0,1,31,8,0,ZAM,21314956,0.0285,1240,29872000000,4.7,Sub-Saharan Africa,1413.421,0.0027,0.000273974,0.569
